fecha,hora,fuente_oficial,fuente_alterna,confirmados,fallecidos,recuperados,descartados,graves,activos,nuevos_confirmados,nuevos_fallecidos,nuevos_recuperados,nuevos_descartados,nuevos_graves,nuevos_activos,mujeres,hombres,adultos,mayores,menores,costarricenses,extranjeros,edad_min,edad_max,comentarios
2020-03-18,13:07,https://twitter.com/msaludcr/status/1240354186480488449,https://twitter.com/delfinocrc/status/1240414230031093760,69,0,0,855,2,69,19,0,0,135,-2,19,30,39,57,7,5,63,6,8,87,El dato de graves fue tomado de la información de Delfino.
2020-03-19,13:10,https://twitter.com/msaludcr/status/1240717229412343808,https://twitter.com/delfinocrc/status/1240744773423714304,87,1,0,951,2,86,18,1,0,96,0,17,35,52,73,7,7,79,8,2,87,El dato de graves fue tomado de la información de Delfino.
2020-03-20,17:49,https://twitter.com/msaludcr/status/1241149921341947905,https://twitter.com/delfinocrc/status/1241084884166283265,113,2,2,1046,2,109,26,1,2,95,0,23,46,67,97,9,7,104,9,2,87,"El comunicado que emitió el Ministerio de Salud cerca de las 13:30 fue corregido después de las 17:00. En el primero mencionaban un cantón llamado San Pedro, que no aparece ya en el segundo. El dato de recuperados no está en el comunicado del Ministerio, pero fue mencionado después. El dato de graves fue tomado de la información de Delfino."
2020-03-21,17:28,https://twitter.com/msaludcr/status/1241506979287379968,https://twitter.com/delfinocrc/status/1241442548285145088,117,2,2,1190,3,113,4,0,0,144,1,4,48,69,100,10,7,107,10,2,87,El dato de graves fue tomado de la información de Delfino.
2020-03-22,13:53,https://twitter.com/msaludcr/status/1241815313336991744,https://twitter.com/delfinocrc/status/1241802936264667137,134,2,2,1400,3,130,17,0,0,210,0,17,55,79,113,14,7,117,17,2,87,El dato de graves fue tomado de la información de Delfino.
2020-03-23,13:12,https://twitter.com/msaludcr/status/1242167393658470401,https://twitter.com/delfinocrc/status/1242166001292267521,158,2,2,1533,3,154,24,0,0,133,0,24,68,90,135,16,7,141,17,2,87,El boletín señala que la edad promedio de los casos confirmados es de 41 años. Esta es información nueva.
2020-03-24,13:52,https://twitter.com/msaludcr/status/1242539859929112579,https://twitter.com/delfinocrc/status/1242525936567844864,177,2,2,1619,4,173,19,0,0,86,1,19,74,103,154,16,7,159,18,2,87,"Se menciona nuevamente la edad promedio: 41.5 años. En la conferencia de prensa, se dice que los hospitalizados son 6."
2020-03-25,13:27,https://twitter.com/msaludcr/status/1242895825992376320,https://twitter.com/delfinocrc/status/1242902946800697345,201,2,2,1684,4,197,24,0,0,65,0,24,84,117,177,17,7,183,18,2,87,Los pacientes en cuidados intensivos tienen entre 35 y 50 años. 8 pacientes están en estudio para ser dados de alta. 6 personas están hospitalizadas y 4 en cuidados intensivos. El promedio de edad de los casos es 41.2 años.
2020-03-26,13:11,https://twitter.com/msaludcr/status/1243254303609020417,https://twitter.com/delfinocrc/status/1243271645608972290,231,2,2,2331,5,227,30,0,0,647,1,30,101,130,204,19,8,209,18,2,87,internados: 6. nacionalidad desconocida: 4. en análisis para dar de alta: 8
2020-03-27,13:41,https://twitter.com/msaludcr/status/1243624284091822080,https://twitter.com/delfinocrc/status/1243626167015477250,263,2,3,2786,5,258,32,0,1,455,0,31,121,142,233,22,8,241,20,2,87,internados: 9. nacionalidad desconocida: 2. en análisis para dar de alta: 7
2020-03-28,15:20,https://twitter.com/msaludcr/status/1244011527717498880,https://twitter.com/delfinocrc/status/1243981793990238208,295,2,3,2912,6,290,32,0,0,126,1,32,138,157,263,22,10,272,21,2,87,
2020-03-29,,,https://twitter.com/delfinocrc/status/1244340065330921473,314,2,3,3115,6,309,19,0,0,203,0,19,150,164,280,22,12,290,24,1,87,13 hospotalizados
2020-03-30,15:22,https://twitter.com/msaludcr/status/1244736850696327169,https://twitter.com/delfinocrc/status/1244711256810033153,330,2,4,3362,7,324,16,0,1,247,1,15,160,170,293,24,13,303,27,1,87,15 hospitalizados
2020-03-31,,,https://twitter.com/delfinocrc/status/1245068961391300608,347,2,4,3498,8,341,17,0,0,136,1,17,167,180,309,24,14,320,27,,,
2020-04-01,12:59,https://twitter.com/msaludcr/status/1245425470591639553,https://twitter.com/delfinocrc/status/1245442360642863107,375,2,4,3843,9,369,28,0,0,345,1,28,181,194,337,24,14,346,29,1,87,15 hospitalizados
2020-04-02,13:52,https://twitter.com/msaludcr/status/1245801322743574532,https://twitter.com/delfinocrc/status/1245795838460297219,396,2,6,3954,11,388,21,0,2,111,2,19,192,204,356,26,14,366,30,1,87,17 hospitalizados
